FunctionName, RelativePath, CountLineCode, CountPath, Cyclomatic, MaxNesting, Knots, CountInput, CountOutput
two_way_long_needle, gnuit-4.9.5\lib\str-two-way.h, 87, 208, 30, 4, 15, 5, 6
two_way_short_needle, gnuit-4.9.5\lib\str-two-way.h, 63, 22, 22, 4, 13, 5, 6
strcasestr, gnuit-4.9.5\lib\strcasestr.c, 31, 8, 7, 1, 3, 3, 5
full_write, gnuit-4.9.5\lib\full-write.c, 21, 5, 4, 2, 4, 3, 3
xstrndup, gnuit-4.9.5\lib\xstrndup.c, 8, 2, 2, 1, 0, 3, 3
history_arg_extract, gnuit-4.9.5\src\history.h, 44, 449, 12, 3, 2, 4, 6
history_set_pos, gnuit-4.9.5\src\history.h, 9, 2, 2, 1, 1, 5, 2
history_tokenize, gnuit-4.9.5\src\history.h, 82, 4755, 24, 4, 15, 3, 5
read_history_range, gnuit-4.9.5\src\history.h, 57, 496, 17, 4, 9, 5, 10
xfstat, gnuit-4.9.5\src\xio.c, 15, 1, 2, 1, 0, 4, 3
xfree, gnuit-4.9.5\src\xmalloc.c, 9, 2, 2, 1, 1, 63, 2
xmalloc, gnuit-4.9.5\lib\xmalloc.c, 8, 2, 2, 1, 0, 75, 3
xrealloc, gnuit-4.9.5\lib\xmalloc.c, 8, 2, 2, 1, 0, 36, 3
add_history, gnuit-4.9.5\src\history.c, 44, 8, 7, 3, 4, 10, 11
append_history, gnuit-4.9.5\src\history.c, 7, 1, 1, 0, 0, 2, 2
current_history, gnuit-4.9.5\src\history.c, 8, 2, 2, 1, 1, 4, 1
get_history_event, gnuit-4.9.5\src\history.c, 81, 178, 22, 4, 13, 10, 10
get_history_word_specifier, gnuit-4.9.5\src\history.c, 71, 120, 20, 3, 13, 6, 6
get_subst_pattern, gnuit-4.9.5\src\history.c, 30, 42, 8, 3, 0, 6, 4
hist_error, gnuit-4.9.5\src\history.c, 38, 5, 5, 1, 10, 5, 4
history_do_write, gnuit-4.9.5\src\history.c, 38, 18, 8, 2, 1, 8, 10
history_expand, gnuit-4.9.5\src\history.c, 111, 2125, 31, 7, 20, 5, 10
history_expand_internal, gnuit-4.9.5\src\history.c, 210, 11640, 38, 5, 69, 11, 20
history_filename, gnuit-4.9.5\src\history.c, 20, 3, 4, 2, 0, 4, 5
history_get, gnuit-4.9.5\src\history.c, 11, 2, 2, 1, 1, 5, 1
history_get_history_state, gnuit-4.9.5\src\history.c, 11, 1, 1, 0, 0, 4, 6
history_list, gnuit-4.9.5\src\history.c, 5, 1, 1, 0, 0, 1, 1
history_search, gnuit-4.9.5\src\history.c, 7, 1, 1, 0, 0, 3, 2
history_search_internal, gnuit-4.9.5\src\history.c, 67, 191, 19, 4, 25, 10, 4
history_search_pos, gnuit-4.9.5\src\history.c, 16, 2, 2, 1, 1, 3, 4
history_search_prefix, gnuit-4.9.5\src\history.c, 7, 1, 1, 0, 0, 2, 2
history_set_history_state, gnuit-4.9.5\src\history.c, 9, 1, 1, 0, 0, 5, 4
history_total_bytes, gnuit-4.9.5\src\history.c, 9, 2, 2, 1, 0, 2, 2
history_truncate_file, gnuit-4.9.5\src\history.c, 40, 144, 9, 2, 4, 3, 9
next_history, gnuit-4.9.5\src\history.c, 8, 2, 2, 1, 1, 5, 2
open, gnuit-4.9.5\lib\open.c, 20, 4, 3, 1, 0, 9, 4
postproc_subst_rhs, gnuit-4.9.5\src\history.c, 29, 7, 6, 3, 1, 5, 6
previous_history, gnuit-4.9.5\src\history.c, 8, 2, 2, 1, 1, 3, 2
read_history, gnuit-4.9.5\src\history.c, 6, 1, 1, 0, 0, 2, 2
remove_history, gnuit-4.9.5\src\history.c, 17, 3, 3, 2, 1, 3, 3
replace_history_entry, gnuit-4.9.5\src\history.c, 16, 2, 2, 1, 1, 5, 7
stifle_history, gnuit-4.9.5\src\history.c, 23, 10, 5, 2, 0, 5, 6
unstifle_history, gnuit-4.9.5\src\history.c, 11, 2, 2, 1, 0, 2, 2
using_history, gnuit-4.9.5\src\history.c, 5, 1, 1, 0, 0, 2, 1
where_history, gnuit-4.9.5\src\history.c, 5, 1, 1, 0, 0, 3, 1
write_history, gnuit-4.9.5\src\history.c, 6, 1, 1, 0, 0, 3, 2
