FunctionName, RelativePath,NumberOfBugs
free, bash-4.2\lib\malloc\malloc.c, 0
rl_call_last_kbd_macro, bash-4.2\lib\readline\readline.h, 0
rl_ding, bash-4.2\lib\readline\terminal.c, 0
_rl_abort_internal, bash-4.2\lib\readline\util.c, 0
_rl_pop_executing_macro, bash-4.2\lib\readline\rlprivate.h, 0
_rl_push_executing_macro, bash-4.2\lib\readline\rlprivate.h, 0
wait_sigint_handler, bash-4.2\jobs.c, 0
xfree, bash-4.2\lib\malloc\xmalloc.c, 0
xmalloc, bash-4.2\builtins\mkbuiltins.c, 0
_rl_add_macro_char, bash-4.2\lib\readline\macro.c, 0
_rl_kill_kbd_macro, bash-4.2\lib\readline\macro.c, 0
_rl_next_macro_key, bash-4.2\lib\readline\macro.c, 0
_rl_with_macro_input, bash-4.2\lib\readline\macro.c, 0
rl_end_kbd_macro, bash-4.2\lib\readline\macro.c, 0
rl_push_macro_input, bash-4.2\lib\readline\macro.c, 0
rl_start_kbd_macro, bash-4.2\lib\readline\macro.c, 0
sh_makepath, bash-4.2\lib\sh\makepath.c, 0
strvec_create, bash-4.2\lib\sh\stringvec.c, 0
strvec_resize, bash-4.2\lib\sh\stringvec.c, 0
absolute_program, bash-4.2\general.c, 0
bash_tilde_expand, bash-4.2\general.h, 0
extract_colon_unit, bash-4.2\general.c, 0
same_file, bash-4.2\general.c, 0
phash_insert, bash-4.2\hashcmd.c, 0
phash_remove, bash-4.2\hashcmd.c, 0
phash_search, bash-4.2\hashcmd.c, 0
termsig_handler, bash-4.2\sig.h, 0
throw_to_top_level, bash-4.2\sig.c, 0
find_variable_internal, bash-4.2\variables.c, 0
get_string_value, bash-4.2\variables.h, 0
_find_user_command_internal, bash-4.2\findcmd.c, 0
executable_file, bash-4.2\findcmd.c, 0
executable_or_directory, bash-4.2\findcmd.c, 0
file_status, bash-4.2\findcmd.c, 0
find_absolute_program, bash-4.2\findcmd.c, 0
find_in_path_element, bash-4.2\findcmd.c, 0
find_path_file, bash-4.2\findcmd.c, 0
find_user_command, bash-4.2\findcmd.c, 0
find_user_command_in_path, bash-4.2\findcmd.c, 0
find_user_command_internal, bash-4.2\findcmd.c, 0
get_next_path_element, bash-4.2\findcmd.c, 0
is_directory, bash-4.2\findcmd.c, 0
search_for_command, bash-4.2\findcmd.c, 0
user_command_matches, bash-4.2\findcmd.c, 0
dispose_function_def, bash-4.2\dispose_cmd.h, 0
dispose_redirects, bash-4.2\dispose_cmd.h, 0
dispose_word, bash-4.2\dispose_cmd.h, 0
dispose_words, bash-4.2\dispose_cmd.h, 0
command_error, bash-4.2\error.c, 0
dispose_command, bash-4.2\dispose_cmd.c, 0
dispose_function_def_contents, bash-4.2\dispose_cmd.c, 0
dispose_word_desc, bash-4.2\dispose_cmd.c, 0
memset, bash-4.2\lib\sh\memset.c, 0
_rl_stricmp, bash-4.2\lib\readline\util.c, 0
_rl_strnicmp, bash-4.2\lib\readline\rldefs.h, 0
_rl_strpbrk, bash-4.2\lib\readline\util.c, 0
strchr, bash-4.2\lib\sh\oslib.c, 0
strrchr, bash-4.2\lib\sh\oslib.c, 0
stpcpy, bash-4.2\lib\intl\l10nflist.c, 0
internal_getopt, bash-4.2\builtins\bashgetopt.c, 0
reset_internal_getopt, bash-4.2\builtins\bashgetopt.c, 0
builtin_error, bash-4.2\builtins\common.c, 0
builtin_usage, bash-4.2\builtins\common.c, 0
realpath_builtin, bash-4.2\examples\loadables\realpath.c, 0
sh_realpath, bash-4.2\lib\sh\pathphys.c, 0
cleanup_the_pipeline, bash-4.2\jobs.c, 0
count_all_jobs, bash-4.2\jobs.c, 0
delete_all_jobs, bash-4.2\jobs.c, 0
delete_job, bash-4.2\jobs.h, 0
end_job_control, bash-4.2\jobs.c, 0
file_error, bash-4.2\builtins\mkbuiltins.c, 0
freeze_jobs_list, bash-4.2\jobs.c, 0
hangup_all_jobs, bash-4.2\jobs.c, 0
glue_prefix_and_suffix, bash-4.2\lib\readline\tilde.c, 0
init_job_stats, bash-4.2\jobs.c, 0
ignore_tty_job_signals, bash-4.2\jobs.h, 0
initialize_job_control, bash-4.2\jobs.c, 0
job_exit_signal, bash-4.2\jobs.c, 0
job_exit_status, bash-4.2\jobs.c, 0
kill_current_pipeline, bash-4.2\jobs.c, 0
list_all_jobs, bash-4.2\jobs.c, 0
list_one_job, bash-4.2\jobs.c, 0
list_running_jobs, bash-4.2\jobs.c, 0
list_stopped_jobs, bash-4.2\jobs.c, 0
main, bash-4.2\support\mksignames.c, 0
making_children, bash-4.2\jobs.c, 0
nohup_all_jobs, bash-4.2\jobs.c, 0
nohup_job, bash-4.2\jobs.c, 0
notify_and_cleanup, bash-4.2\jobs.c, 0
programming_error, bash-4.2\error.c, 0
restart_job_control, bash-4.2\jobs.c, 0
restore_pipeline, bash-4.2\jobs.c, 0
run_sigchld_trap, bash-4.2\jobs.c, 0
save_pipeline, bash-4.2\jobs.c, 0
set_job_control, bash-4.2\jobs.c, 0
set_sigchld_handler, bash-4.2\jobs.c, 0
restore_sigint_handler, bash-4.2\jobs.c, 0
start_job, bash-4.2\jobs.c, 0
sh_unset_nodelay_mode, bash-4.2\lib\readline\shell.c, 0
start_pipeline, bash-4.2\jobs.h, 0
stop_making_children, bash-4.2\jobs.c, 0
terminate_current_pipeline, bash-4.2\jobs.c, 0
terminate_stopped_jobs, bash-4.2\jobs.c, 0
tilde_find_suffix, bash-4.2\lib\readline\tilde.c, 0
usage, bash-4.2\lib\readline\examples\rl.c, 0
wait_for_job, bash-4.2\jobs.c, 0
without_job_control, bash-4.2\jobs.c, 0
malloc_unwatch, bash-4.2\lib\malloc\watch.c, 0
malloc_watch, bash-4.2\lib\malloc\watch.c, 0
